,open,high,low,close,volume
2013-10-02 15:20:43.800,1436.0,1436.0,1436.0,1436.0,100.0
2013-10-02 15:20:43.900,1436.25,1436.25,1436.25,1436.25,2.0
2013-10-02 15:20:44.100,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:20:44.400,1436.0,1436.25,1436.0,1436.25,285.0
2013-10-02 15:20:44.500,1436.0,1436.25,1436.0,1436.25,2.0
2013-10-02 15:20:44.600,1436.0,1436.0,1436.0,1436.0,460.0
2013-10-02 15:20:44.700,1436.0,1436.0,1436.0,1436.0,392.0
2013-10-02 15:20:44.800,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:44.900,1436.0,1436.0,1436.0,1436.0,10.0
2013-10-02 15:20:45.100,1436.0,1436.0,1436.0,1436.0,8.0
2013-10-02 15:20:45.200,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:20:45.400,1436.0,1436.0,1436.0,1436.0,263.0
2013-10-02 15:20:45.500,1436.0,1436.25,1436.0,1436.25,11.0
2013-10-02 15:20:45.600,1436.0,1436.0,1436.0,1436.0,42.0
2013-10-02 15:20:45.700,1436.0,1436.0,1436.0,1436.0,304.0
2013-10-02 15:20:45.800,1436.0,1436.0,1436.0,1436.0,418.0
2013-10-02 15:20:45.900,1436.0,1436.0,1436.0,1436.0,12.0
2013-10-02 15:20:46.100,1436.0,1436.0,1436.0,1436.0,177.0
2013-10-02 15:20:46.200,1436.0,1436.0,1436.0,1436.0,13.0
2013-10-02 15:20:46.300,1436.0,1436.0,1435.75,1435.75,3.0
2013-10-02 15:20:46.400,1435.75,1436.0,1435.75,1436.0,6.0
2013-10-02 15:20:46.700,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:46.800,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:47.000,1436.0,1436.0,1435.75,1435.75,13.0
2013-10-02 15:20:47.100,1436.0,1436.0,1436.0,1436.0,3.0
2013-10-02 15:20:47.200,1435.75,1435.75,1435.75,1435.75,5.0
2013-10-02 15:20:47.600,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:47.900,1436.0,1436.0,1435.75,1435.75,2.0
2013-10-02 15:20:48.000,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:48.100,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:48.300,1435.75,1436.0,1435.75,1436.0,823.0
2013-10-02 15:20:48.400,1436.0,1436.0,1435.75,1435.75,247.0
2013-10-02 15:20:48.500,1435.75,1436.0,1435.75,1436.0,440.0
2013-10-02 15:20:48.600,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:48.900,1435.75,1435.75,1435.75,1435.75,8.0
2013-10-02 15:20:49.200,1436.0,1436.0,1436.0,1436.0,52.0
2013-10-02 15:20:49.300,1436.0,1436.0,1436.0,1436.0,56.0
2013-10-02 15:20:49.400,1436.0,1436.0,1436.0,1436.0,134.0
2013-10-02 15:20:49.500,1436.0,1436.0,1436.0,1436.0,71.0
2013-10-02 15:20:49.600,1436.0,1436.0,1436.0,1436.0,109.0
2013-10-02 15:20:49.700,1435.75,1435.75,1435.75,1435.75,2.0
2013-10-02 15:20:49.900,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:20:50.000,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:50.100,1435.75,1435.75,1435.75,1435.75,20.0
2013-10-02 15:20:50.200,1435.75,1436.0,1435.75,1436.0,2.0
2013-10-02 15:20:50.400,1436.0,1436.0,1436.0,1436.0,136.0
2013-10-02 15:20:50.500,1435.75,1435.75,1435.75,1435.75,2.0
2013-10-02 15:20:50.600,1436.0,1436.0,1436.0,1436.0,50.0
2013-10-02 15:20:50.700,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:50.900,1436.0,1436.0,1436.0,1436.0,6.0
2013-10-02 15:20:51.100,1435.75,1436.0,1435.75,1436.0,509.0
2013-10-02 15:20:51.200,1436.0,1436.0,1436.0,1436.0,22.0
2013-10-02 15:20:51.300,1436.0,1436.0,1436.0,1436.0,33.0
2013-10-02 15:20:51.400,1436.0,1436.0,1436.0,1436.0,32.0
2013-10-02 15:20:51.500,1435.75,1435.75,1435.75,1435.75,2.0
2013-10-02 15:20:51.600,1436.0,1436.0,1436.0,1436.0,366.0
2013-10-02 15:20:51.700,1436.0,1436.0,1435.5,1435.5,9.0
2013-10-02 15:20:51.900,1435.75,1436.0,1435.75,1436.0,28.0
2013-10-02 15:20:52.000,1436.0,1436.0,1436.0,1436.0,127.0
2013-10-02 15:20:52.100,1436.0,1436.0,1436.0,1436.0,204.0
2013-10-02 15:20:52.200,1436.0,1436.0,1436.0,1436.0,44.0
2013-10-02 15:20:52.300,1436.0,1436.0,1435.75,1436.0,64.0
2013-10-02 15:20:52.400,1435.75,1436.0,1435.75,1436.0,66.0
2013-10-02 15:20:52.500,1435.75,1435.75,1435.75,1435.75,2.0
2013-10-02 15:20:52.600,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:52.700,1436.0,1436.0,1435.75,1435.75,13.0
2013-10-02 15:20:52.800,1435.75,1435.75,1435.5,1435.5,3.0
2013-10-02 15:20:52.900,1436.0,1436.0,1436.0,1436.0,5.0
2013-10-02 15:20:53.000,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:53.100,1435.75,1435.75,1435.75,1435.75,40.0
2013-10-02 15:20:53.300,1436.0,1436.0,1436.0,1436.0,80.0
2013-10-02 15:20:53.500,1435.75,1436.0,1435.75,1436.0,15.0
2013-10-02 15:20:53.600,1436.0,1436.0,1436.0,1436.0,5.0
2013-10-02 15:20:53.900,1436.0,1436.0,1436.0,1436.0,22.0
2013-10-02 15:20:54.000,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:54.300,1435.75,1435.75,1435.75,1435.75,13.0
2013-10-02 15:20:54.400,1436.0,1436.0,1436.0,1436.0,235.0
2013-10-02 15:20:54.700,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:54.800,1436.0,1436.0,1436.0,1436.0,25.0
2013-10-02 15:20:54.900,1436.0,1436.0,1436.0,1436.0,20.0
2013-10-02 15:20:55.100,1435.75,1435.75,1435.75,1435.75,2.0
2013-10-02 15:20:55.300,1436.0,1436.0,1436.0,1436.0,4.0
2013-10-02 15:20:55.400,1435.5,1435.5,1435.5,1435.5,1.0
2013-10-02 15:20:55.500,1435.75,1436.0,1435.75,1436.0,132.0
2013-10-02 15:20:55.600,1436.0,1436.0,1435.75,1435.75,3.0
2013-10-02 15:20:55.700,1436.0,1436.0,1436.0,1436.0,9.0
2013-10-02 15:20:55.800,1436.0,1436.0,1436.0,1436.0,13.0
2013-10-02 15:20:55.900,1435.75,1436.0,1435.75,1436.0,31.0
2013-10-02 15:20:56.000,1436.0,1436.0,1436.0,1436.0,17.0
2013-10-02 15:20:56.200,1436.0,1436.0,1436.0,1436.0,7.0
2013-10-02 15:20:56.500,1435.75,1435.75,1435.75,1435.75,2.0
2013-10-02 15:20:56.600,1436.0,1436.0,1436.0,1436.0,20.0
2013-10-02 15:20:56.700,1436.0,1436.0,1436.0,1436.0,20.0
2013-10-02 15:20:56.900,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:57.200,1435.75,1435.75,1435.5,1435.5,7.0
2013-10-02 15:20:57.300,1436.0,1436.0,1436.0,1436.0,66.0
2013-10-02 15:20:57.400,1436.0,1436.0,1436.0,1436.0,460.0
2013-10-02 15:20:57.600,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:57.800,1435.75,1436.0,1435.75,1436.0,101.0
2013-10-02 15:20:58.000,1435.5,1435.75,1435.5,1435.75,2.0
2013-10-02 15:20:58.100,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:58.200,1435.5,1435.5,1435.5,1435.5,1.0
2013-10-02 15:20:58.300,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:58.400,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:58.500,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:58.600,1436.0,1436.0,1436.0,1436.0,5.0
2013-10-02 15:20:58.700,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:58.800,1436.0,1436.0,1436.0,1436.0,42.0
2013-10-02 15:20:58.900,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:20:59.100,1435.5,1435.75,1435.5,1435.75,3.0
2013-10-02 15:20:59.200,1436.0,1436.0,1436.0,1436.0,120.0
2013-10-02 15:20:59.500,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:00.000,1435.75,1436.0,1435.5,1435.5,9.0
2013-10-02 15:21:00.100,1436.0,1436.0,1436.0,1436.0,3.0
2013-10-02 15:21:00.300,1435.75,1435.75,1435.75,1435.75,4.0
2013-10-02 15:21:00.700,1435.75,1435.75,1435.75,1435.75,4.0
2013-10-02 15:21:00.800,1436.0,1436.0,1435.75,1436.0,138.0
2013-10-02 15:21:01.000,1436.0,1436.0,1435.75,1435.75,188.0
2013-10-02 15:21:01.100,1435.75,1435.75,1435.75,1435.75,12.0
2013-10-02 15:21:01.200,1435.75,1435.75,1435.75,1435.75,2.0
2013-10-02 15:21:01.300,1435.75,1435.75,1435.75,1435.75,140.0
2013-10-02 15:21:01.600,1436.0,1436.0,1436.0,1436.0,2.0
